request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,281.89,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,"Pay EUR 1,302.40 in full on 15 June 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,51524,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2894443.04,affordable_later,wait,2024-09-15:18164000.0,2024-09-15,none,"Pay IDR 18,164,000 in full on 15 September 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,14175.2,affordable_later,wait,2025-02-15:40018.0,2025-02-15,none,"Pay ZAR 40,018 in full on 15 February 2025. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,32279.86,affordable_later,wait,2026-01-15:118000.0,2026-01-15,none,"Pay INR 118,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,12110.02,affordable_later,wait,2026-01-15:212000.0,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,615.13,affordable_later,wait,2026-09-15:3954.0,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,4880085.52,affordable_later,wait,2024-03-15:14649000.0,2024-03-15,none,"Pay IDR 14,649,000 in full on 15 March 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,182.82,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,50841.31,affordable_later,wait,2026-04-15:208600.0,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
